type,description
ABANBU,ABANDON CALL FROM BUSINESS
ABANMV,ABANDONED MOTOR VEHICLE
ABANPH,ABANDON CALL FROM PAY PHONE
ABANRE,ABANDON CALL FROM RESIDENCE
ABATE,NA
ABDWIP,ASSAULT/BATTERY D/W IN PROG
ABDWRP,ASSAULT/BATTERY D/W REPORT
ABIP,ASSAULT/BATTERY IN PROG
ABRPT,ASSAULT/BATTERY REPORT
ACS,CENTRAL STATION ALARM
ACSCO,CENTRAL STATION -CO DETECTOR
ADTEST,NA
ADVISE,ADVISORY OF INCIDENT
AFB,NA
AFBM,ALARM - MASTER BOX
AL,LOCAL ALARM
ALARM,ADT OR ELECTRONIC ALARM
ALARMA,NA
ALARMB,ALARM - BANK
ALARMC,ALARM - COMMERCIAL/BUSINESS
ALARMD,NA
ALARMH,ALARM - HOLDUP
ALARMI,BPD CHECK PERSON'S WELL BEING
ALARMM,ALARM - MEDICAL ALERT
ALARMP,ALARM - PANIC/DURESS
ALARMR,ALARM - RESIDENTIAL
ALARMV,ALARM - VEHICLE/AUTO
ALARMX,CANCEL ALARM
ALERT3,NA
ANAPHX,ANAPHYLAXIS(STING/RX REACTION)
AOD,ASSIST OTHER DEPARTMENT
ARMROB,ARMED ROBBERY
ARREST,ARREST O/S NO ASSISTANCE
ARSRPT,NA
ASGNMT,NA
ASLTIP,ASSAULT IN PROG
ASSIST,EMS ASSIST
ASSTPO,NA
ASTEMS,ASSIST EMS OFFICIALS ONSCENE
AU,ALARM UNKNOWN BELL, OTHER
BBQ,INVESTIGATE THE BAR-B-QUE
BEIP,BREAKING/ENTERING IN PROG
BEMVRT,BREAKING/ENTERING M/V RPT
BERPT,BREAKING/ENTERING REPORT
BERPTA,B/E ATTEMPT REPORT
BIOT,NA
BIOW,BIOHAZARDOUS WASTE
BOLO,AMBER/ALZHEIMER/MISSING CHILD
BOMB,BOMB THREAT
BOMBF,THREAT ONLY NO BFD RESPONSE
BOMBR,BOMB REMOVAL/FOUND DEVICE
